,Keyword,avg_searches,Competition,competition_index
0,servicios financieros,880.0,Medium,36.0
1,sector economico,2400.0,Low,0.0
2,sectores economicos,2400.0,Low,0.0
3,sector cuaternario,880.0,Low,0.0
4,sector primario secundario y terciario,1000.0,Low,0.0
5,sectores de la economia,1000.0,Low,1.0
6,sector terciario ejemplos,880.0,Low,0.0
7,entidades financieras,720.0,Low,25.0
8,economia informal,720.0,Low,1.0
9,financieros,4400.0,Medium,37.0
10,banco de servicios financieros,2900.0,Low,26.0
11,asesoria financiera,1900.0,Medium,61.0
12,servicio financiero carrefour,5400.0,Low,32.0
13,iudu compañia financiera,720.0,Low,25.0
14,sectores de producción,590.0,Low,1.0
15,banco servicios financieros,880.0,Low,25.0
16,banco financiero carrefour,720.0,Low,30.0
17,reba compañia financiera,880.0,Low,29.0
18,presupuesto financieros,590.0,Low,12.0
19,administracion financiero,720.0,Medium,48.0
20,financieros que es,590.0,Low,8.0
